dataset,model,seed,perturbation_rate,n_instances,mean_pred_drift,frac_pred_preserving,frac_plausible,shap_rank_sim_mean,shap_attr_sim_mean,shap_sign_cons_mean,lime_rank_sim_mean,lime_attr_sim_mean,lime_sign_cons_mean
gmsc,mlp,42,0.05,50,0.38822971182642724,0.0,1.0,0.7556802731517067,-0.423944245023724,0.5431111111111111,0.6887272727272726,0.7894454796856162,0.69
gmsc,mlp,42,0.1,50,0.3867656011545211,0.0,1.0,0.7475682857185919,-0.4276644533752025,0.5311111111111111,0.6174545454545454,0.8066614436264453,0.68
gmsc,mlp,123,-0.1,50,0.02931843425415053,0.8,1.0,0.8979393939393938,0.7856482600530122,0.8888888888888888,0.787151515151515,0.9487108632135659,0.8
gmsc,mlp,123,-0.05,50,0.02945001073226128,0.8,1.0,0.8957575757575756,0.7851936899662849,0.8891666666666667,0.7808484848484848,0.9490371408999381,0.8059999999999999
gmsc,mlp,123,0.05,50,0.4438932303144131,0.0,1.0,0.7624242424242423,-0.3709931612476154,0.49644444444444447,0.632,0.7728553407565323,0.7240000000000001
gmsc,mlp,123,0.1,50,0.4419350779453506,0.0,1.0,0.7561212121212121,-0.373904167613699,0.5035555555555555,0.5949090909090908,0.7638461538162261,0.71
gmsc,mlp,2024,-0.1,50,0.023572061856637225,0.82,1.0,0.8839806284353818,0.8215368008930121,0.9011111111111112,0.7638787878787877,0.9435386461392511,0.792
gmsc,mlp,2024,-0.05,50,0.023666270545130645,0.82,1.0,0.8860504591840852,0.8216449342700686,0.9036666666666667,0.7599999999999999,0.9461917730744195,0.782
gmsc,mlp,2024,0.05,50,0.37346489030596564,0.02,1.0,0.8269618561250073,-0.41865987825052586,0.5897777777777777,0.700121212121212,0.7973705700209931,0.706
gmsc,mlp,2024,0.1,50,0.36632519658838336,0.02,1.0,0.821628522791674,-0.41619287797744997,0.5687222222222222,0.696,0.8124064933244587,0.72
gmsc,random_forest,0,-0.1,50,0.06275796806300708,0.72,1.0,0.9456969696969696,0.8428882198941848,0.8959999999999999,0.7088484848484847,0.911836781645829,0.83
gmsc,random_forest,0,-0.05,50,0.05891124724083045,0.74,1.0,0.9503030303030302,0.8453873397631093,0.904,0.703030303030303,0.9268646810482274,0.87
gmsc,random_forest,0,0.05,50,0.45293699311411223,0.04,1.0,0.750060606060606,0.08695498588133065,0.594,0.5883636363636363,0.6908134481074694,0.7020000000000001
gmsc,random_forest,0,0.1,50,0.44888916410248375,0.04,1.0,0.7503030303030301,0.0906420134607494,0.592,0.6147878787878787,0.741996733890299,0.726
gmsc,random_forest,7,-0.1,50,0.061120836760130144,0.74,1.0,0.9452121212121212,0.840701247035243,0.8960000000000001,0.6913939393939392,0.9032187983780341,0.8540000000000001
gmsc,random_forest,7,-0.05,50,0.05810641056049816,0.76,1.0,0.9488484848484847,0.8433201646341381,0.9079999999999999,0.670060606060606,0.8955280468687847,0.8540000000000001
gmsc,random_forest,7,0.05,50,0.45162139720690564,0.04,1.0,0.7503030303030301,0.09868668882166076,0.58,0.6169696969696968,0.7240152652443562,0.726
gmsc,random_forest,7,0.1,50,0.4508624230940573,0.04,1.0,0.7461818181818181,0.10056237640787287,0.582,0.6176969696969696,0.7444955900756294,0.738
gmsc,random_forest,42,-0.1,50,0.06234164225036459,0.72,1.0,0.950060606060606,0.8459223027479869,0.9079999999999999,0.6877575757575757,0.9045894977483857,0.8220000000000001
gmsc,random_forest,42,-0.05,50,0.05858049608533967,0.74,1.0,0.9573333333333331,0.8495889853959698,0.9079999999999999,0.7117575757575757,0.9098636841138418,0.8220000000000001
gmsc,random_forest,42,0.05,50,0.4560887442866164,0.02,1.0,0.7711515151515151,0.1086510964106004,0.606,0.5856969696969696,0.7121111034818836,0.732
gmsc,random_forest,42,0.1,50,0.4532915300556241,0.02,1.0,0.7689696969696969,0.11305517783265558,0.598,0.615030303030303,0.7180703372494122,0.742
gmsc,random_forest,123,-0.1,50,0.06107741267352785,0.72,1.0,0.9437575757575758,0.841868043289304,0.898,0.7585454545454544,0.9152663406341977,0.8220000000000001
gmsc,random_forest,123,-0.05,50,0.05754656304641172,0.74,1.0,0.9503030303030302,0.8448179645980395,0.9059999999999999,0.7153939393939394,0.9140199333479135,0.852
gmsc,random_forest,123,0.05,50,0.4566051033530954,0.04,1.0,0.7522424242424242,0.09329460352672778,0.606,0.5573333333333332,0.6970658760890163,0.69
gmsc,random_forest,123,0.1,50,0.4517917518125671,0.02,1.0,0.7517575757575757,0.09838736680335439,0.6,0.5847272727272727,0.688135349790731,0.72
gmsc,random_forest,2024,-0.1,50,0.0636550540750631,0.74,1.0,0.9519999999999998,0.8414552015915375,0.8960000000000001,0.7056969696969696,0.9026680885710907,0.836
gmsc,random_forest,2024,-0.05,50,0.0606766665569388,0.74,1.0,0.9549090909090908,0.8444364119733295,0.904,0.6926060606060606,0.9004914450044353,0.8420000000000001
gmsc,random_forest,2024,0.05,50,0.4467575495097354,0.04,1.0,0.7568484848484848,0.11715622706839092,0.604,0.5917575757575757,0.741431004391712,0.752
gmsc,random_forest,2024,0.1,50,0.443077823001028,0.04,1.0,0.7553939393939393,0.12042493900989056,0.598,0.6133333333333333,0.7246828196179779,0.7340000000000001
gmsc,xgboost,0,-0.1,50,0.07527601968497039,0.56,1.0,0.8732121212121211,0.8658464848103036,0.88,0.6943030303030302,0.9064842196275972,0.868
gmsc,xgboost,0,-0.05,50,0.06831842437386512,0.66,1.0,0.8821818181818181,0.8675858861650201,0.89,0.7139393939393939,0.9032859072002961,0.8560000000000001
gmsc,xgboost,0,0.05,50,0.5321097993478179,0.02,1.0,0.6072727272727272,0.17244563282336714,0.54,0.5983030303030302,0.6778161482716965,0.75
